,city,state,status,lastUpdated,totalAvailable,pctAvailable,queryTime
64,HANOVER,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
65,HANSON,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
66,HARWICH,MA,Fully Booked,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
67,HARWICHPORT,MA,Fully Booked,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
68,HAVERHILL,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
69,HINGHAM,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
70,HOLBROOK,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
71,HOLDEN,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
72,HOLLISTON,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
73,HOLYOKE,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
74,HOPKINTON,MA,Fully Booked,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
75,HUDSON,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
76,HYANNIS,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
77,HYDE PARK,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
78,IPSWICH,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
79,JAMAICA PLAIN,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
80,KINGSTON,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
81,LAKEVILLE,MA,Fully Booked,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
82,LANESBOROUGH,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
83,LAWRENCE,MA,Fully Booked,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
84,LENOX,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
85,LEOMINSTER,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
86,LEXINGTON,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
87,LITTLETON,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
88,LONGMEADOW,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
89,LOWELL,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
90,LUDLOW,MA,Fully Booked,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
91,LUNENBURG,MA,Fully Booked,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
92,LYNN,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
93,MALDEN,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
94,MANSFIELD,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
95,MARBLEHEAD,MA,Fully Booked,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
96,MARLBOROUGH,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
97,MARSHFIELD,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
98,MARSTONS MILLS,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
99,MASHPEE,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
100,MATTAPAN,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
101,MAYNARD,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
102,MEDFIELD,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
103,MEDFORD,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
104,MEDWAY,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
105,MELROSE,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
106,METHUEN,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
107,MIDDLEBOROUGH,MA,Fully Booked,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
108,MIDDLETON,MA,Fully Booked,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
109,MILFORD,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
110,MILLBURY,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
111,MILLIS,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
112,MILTON,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
